Date,AAPL,GE,F,AMD,GPRO,MSFT,FIT,FB,TWTR,TSLA,BAC,NFLX,NVDA,BABA,SNAP
2018-01-02,41.513580322265625,16.675668716430664,10.842077255249023,10.979999542236328,7.440000057220459,82.59931945800781,6.010000228881836,181.4199981689453,24.51000022888184,64.10600280761719,28.13157844543457,201.07000732421875,197.754150390625,183.6499938964844,14.949999809265137
2018-01-03,41.506343841552734,16.83333969116211,10.927719116210938,11.550000190734863,7.489999771118164,82.98372650146484,6.130000114440918,184.6699981689453,24.45000076293945,63.45000076293945,28.03749084472656,205.0500030517578,210.76910400390625,184.0,15.3100004196167
2018-01-04,41.69913864135742,17.185771942138672,11.116127967834473,12.119999885559082,7.570000171661378,83.71411895751953,5.980000019073486,184.3300018310547,23.989999771118164,62.92399978637695,28.4044246673584,205.6300048828125,211.880111694336,185.7100067138672,14.59000015258789
2018-01-05,42.17389297485352,17.195045471191403,11.304537773132324,11.880000114440918,7.519999980926514,84.75201416015625,5.9000000953674325,186.8500061035156,24.31999969482422,63.31600189208984,28.5361442565918,209.9900054931641,213.6756286621093,190.6999969482422,14.5
2018-01-08,42.01725387573242,16.953908920288086,11.261714935302734,12.279999732971191,6.559999942779541,84.83848571777344,5.6500000953674325,188.27999877929688,24.59000015258789,67.28199768066406,28.338565826416016,212.0500030517578,220.22280883789065,190.3300018310547,14.0600004196167
2018-01-09,42.01243209838867,17.213594436645508,11.201767921447754,11.81999969482422,6.170000076293945,84.78083801269531,5.6599998474121085,187.8699951171875,24.170000076293945,66.73799896240234,28.47969436645508,209.3099975585937,220.16326904296875,190.8000030517578,14.100000381469728
2018-01-10,42.0027961730957,17.556751251220707,11.15894889831543,11.960000038146973,6.050000190734862,84.39643859863281,5.590000152587892,187.83999633789065,24.25,66.95999908447266,28.743133544921875,212.5200042724609,221.8893585205078,189.7899932861328,14.649999618530272
2018-01-11,42.24137878417969,17.640228271484375,11.27027988433838,12.140000343322756,6.1500000953674325,84.64628601074219,5.71999979019165,187.7700042724609,24.35000038146973,67.58999633789061,28.84662628173828,217.2400054931641,222.2861785888672,188.75,14.600000381469728
2018-01-12,42.677581787109375,17.39908790588379,11.330227851867676,12.020000457763672,6.230000019073486,86.1070327758789,5.639999866485597,179.3699951171875,25.40999984741211,67.24400329589844,29.34528350830078,221.22999572753903,221.1949462890625,187.7899932861328,14.109999656677244
2018-01-16,42.46068572998047,16.888986587524414,11.21889591217041,11.90999984741211,6.360000133514403,84.90576171875,5.510000228881836,178.38999938964844,24.65999984741211,68.01200103759766,29.39232063293457,221.52999877929688,218.3479766845703,182.3999938964844,13.5
2018-01-17,43.16197967529297,16.09136962890625,10.431004524230955,12.18000030517578,6.340000152587892,86.6259765625,5.630000114440918,177.60000610351562,24.559999465942383,69.43199920654297,29.335872650146484,217.5,222.9210357666016,183.8300018310547,13.520000457763672
2018-01-18,43.20053482055664,15.553447723388672,10.336799621582031,12.470000267028809,6.269999980926514,86.5875473022461,5.53000020980835,179.8000030517578,24.040000915527344,68.91400146484375,29.618127822875977,220.3300018310547,222.64328002929688,184.3999938964844,14.010000228881836
2018-01-19,43.00774383544922,15.080445289611816,10.276851654052734,12.59000015258789,6.289999961853027,86.49143981933594,5.559999942779541,181.2899932861328,23.65999984741211,70.00399780273439,29.84393119812012,220.4600067138672,228.2678680419922,184.0500030517578,14.039999961853027
2018-01-22,42.6558952331543,14.996973991394045,10.293980598449709,12.649999618530272,6.300000190734862,88.03866577148438,5.599999904632568,185.3699951171875,23.31999969482422,70.31199645996094,30.050922393798828,227.5800018310547,231.81922912597656,184.0200042724609,14.170000076293944
2018-01-23,42.665523529052734,15.664742469787598,10.242596626281738,12.9399995803833,6.119999885559082,88.3173828125,5.550000190734863,189.3500061035156,22.75,70.55799865722656,30.0321044921875,250.2899932861328,236.9974365234375,192.27999877929688,14.25
2018-01-24,41.985931396484375,15.247386932373049,10.319671630859377,12.710000038146973,6.099999904632568,88.240478515625,5.489999771118164,186.5500030517578,22.3700008392334,69.17800140380861,30.19205093383789,261.29998779296875,233.912338256836,195.52999877929688,14.4399995803833
2018-01-25,41.23643493652344,15.006248474121096,9.908597946166992,12.40999984741211,5.960000038146973,88.73062133789062,5.420000076293945,187.47999572753903,22.15999984741211,67.52799987792969,30.19205093383789,269.70001220703125,234.4579162597656,198.3300018310547,13.710000038146973
2018-01-26,41.33282852172852,14.959875106811523,9.9771089553833,12.949999809265137,5.6500000953674325,90.39317321777344,5.28000020980835,190.0,24.270000457763672,68.56999969482422,30.29554557800293,274.6000061035156,241.382064819336,205.22000122070312,13.5600004196167
2018-01-29,40.4773063659668,15.098994255065918,9.63068389892578,13.31999969482422,5.320000171661377,90.25862121582033,5.199999809265137,185.97999572753903,25.18000030517578,69.90599822998047,30.370813369750977,284.5899963378906,244.87388610839844,203.009994506836,13.470000267028809
2018-01-30,40.23872375488281,14.792932510375977,9.578720092773438,12.869999885559082,5.46999979019165,89.12462615966797,5.199999809265137,187.1199951171875,25.6200008392334,69.16400146484375,29.99447059631348,278.79998779296875,240.77691650390625,199.6600036621093,13.260000228881836
2018-01-31,40.34957885742188,14.996973991394045,9.500773429870604,13.739999771118164,5.46999979019165,91.3061294555664,5.150000095367432,186.88999938964844,25.809999465942383,70.86199951171875,30.10737228393555,270.29998779296875,243.832275390625,204.2899932861328,13.520000457763672
